Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Big Fish,66432867,123432867,,70000000,10-Dec-03,PG-13,125,Sony Pictures,Based on Book/Short Story,Drama,Fantasy,Tim Burton,77,8.1,141099
The Big Lebowski,17498804,46189568,,15000000,6-Mar-98,R,127,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Joel Coen,78,8.2,177960
Big Momma's House,117559438,173559438,,33000000,2-Jun-00,PG-13,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Raja Gosnell,30,4.7,21318
Black Hawk Down,108638745,173638745,970318,95000000,28-Dec-01,R,144,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7,98653
Billy Elliot,21995263,109280263,,5000000,13-Oct-00,PG-13,110,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Stephen Daldry,85,7.7,38403
Bicentennial Man,58220776,87420776,,90000000,17-Dec-99,PG,132,Walt Disney Pictures,Based on Book/Short Story,Drama,Science Fiction,Chris Columbus,38,6.4,28827
Blade,70141876,131237688,,45000000,21-Aug-98,R,121,New Line,Based on Comic/Graphic Novel,Action,Super Hero,Stephen Norrington,55,7,64896
Blast from the Past,26613620,26613620,,35000000,12-Feb-99,PG-13,111,New Line,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,60,6.4,23243
Blood Work,26199517,26199517,,50000000,9-Aug-02,R,110,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3,16751
Legally Blonde,96493426,141743426,,18000000,13-Jul-01,PG-13,97,MGM,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,67,6.2,44128
Blow,52990775,83282296,,30000000,6-Apr-01,R,123,New Line,Based on Book/Short Story,Drama,Dramatization,Ted Demme,54,7.4,70218
A Beautiful Mind,170708996,316708996,,78000000,21-Dec-01,PG-13,135,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8,126067
Bandits,41523271,71523271,,75000000,12-Oct-01,PG-13,123,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,63,6.5,30732
Bobby,11242801,20597806,12345494,14000000,17-Nov-06,R,120,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46,7.1,23262
The Bone Collector,66488090,151463090,,48000000,5-Nov-99,R,118,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Phillip Noyce,27,6.3,46961
Boogie Nights,26410771,43111725,,15000000,10-Oct-97,R,152,New Line,Original Screenplay,Drama,Historical Fiction,Paul Thomas Anderson,92,7.9,70962
The Bourne Identity,121468960,213300000,,60000000,14-Jun-02,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7,122597
The Bourne Supremacy,176087450,288587450,,85000000,23-Jul-04,PG-13,108,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,81,7.6,104614
The Bourne Ultimatum,227471070,442161562,123314592,130000000,3-Aug-07,PG-13,114,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2,146025
Bringing Out The Dead,16640210,16640210,,32000000,22-Oct-99,R,120,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Martin Scorsese,71,6.8,31079
Brokeback Mountain,83043761,180343761,31338042,13900000,9-Dec-05,R,134,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87,7.8,115951
Barbershop,75781642,77081642,,12000000,13-Sep-02,PG-13,103,MGM,Original Screenplay,Comedy,Contemporary Fiction,Tim Story,82,6.2,11164
Best in Show,18621249,20695413,,6000000,27-Sep-00,PG-13,90,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,94,7.4,24484
Bad Santa,60060328,60063017,,18000000,26-Nov-03,R,91,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Terry Zwigoff,77,7.3,45022
Inglourious Basterds,120831050,320389438,58414604,70000000,21-Aug-09,R,152,Weinstein Co.,Original Screenplay,Action,Historical Fiction,Quentin Tarantino,88,8.4,178742
Blue Streak,68208190,117448157,,36000000,17-Sep-99,PG-13,95,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Les Mayfield,35,5.9,23545
Batman & Robin,107325195,238317814,,125000000,20-Jun-97,PG-13,130,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,11,3.5,81283
Bulworth,26528684,29203383,,30000000,15-May-98,R,107,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Warren Beatty,75,6.8,15486
Bowfinger,66458769,98699769,,55000000,13-Aug-99,PG-13,96,Universal,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,79,6.4,33389
Bewitched,63313159,131413159,,80000000,24-Jun-05,PG-13,100,Sony Pictures,Based on TV,Comedy,Fantasy,Nora Ephron,24,4.8,26834
Cast Away,233632142,427230516,,85000000,22-Dec-00,PG-13,144,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Robert Zemeckis,89,7.5,102936
Catch Me if You Can,164606800,351106800,,52000000,25-Dec-02,PG-13,141,Dreamworks SKG,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96,5.7,224
Crocodile Dundee in Los Angeles,25590119,39393111,,25000000,20-Apr-01,PG,95,Paramount Pictures,Original Screenplay,Adventure,Contemporary Fiction,Simon Wincer,12,4.6,7082
Cellular,32003620,45261739,,45000000,10-Sep-04,PG-13,94,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,54,6.5,32534
City of Ember,7871693,11817059,6086988,38000000,10-Oct-08,PG,94,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Gil Kenan,53,6.4,14905
Charlie and the Chocolate Factory,206459076,474459076,,150000000,15-Jul-05,PG,115,Warner Bros.,Remake,Comedy,Kids Fiction,Tim Burton,82,7.1,102437
Catch a Fire,4299773,5699773,,14000000,27-Oct-06,PG-13,101,Focus Features,Based on Real Life Events,Thriller/Suspense,Dramatization,Phillip Noyce,76,6.8,5959
Charlie's Angels,125305545,263200000,,90000000,3-Nov-00,PG-13,98,Sony Pictures,Based on TV,Adventure,Contemporary Fiction,Joseph McGinty Nichol,67,5.5,60791
Chicago,170687518,307687518,,30000000,27-Dec-02,PG-13,113,Miramax,Based on Musical/Opera,Musical,Historical Fiction,Rob Marshall,88,7.2,82650
Chicken Little,135386665,314432738,142108745,60000000,4-Nov-05,G,80,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8,17415
Chicken Run,106793915,227793915,,42000000,21-Jun-00,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,96,7.3,48307
Cheaper by the Dozen,138614544,189714544,,40000000,25-Dec-03,PG,98,20th Century Fox,Remake,Comedy,Contemporary Fiction,Shawn Levy,24,5.6,24283
Cheaper by the Dozen 2,82571173,135015330,26537982,60000000,21-Dec-05,PG,94,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7,5.2,11858
Bride of Chucky,32404188,50692188,,25000000,16-Oct-98,R,89,Universal,Original Screenplay,Horror,Fantasy,Ronny Yu,43,5.3,13735
Children of Men,35552383,69450202,25345271,76000000,25-Dec-06,R,114,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93,8.1,158125
Love in the Time of Cholera,4617608,31077418,,45000000,16-Nov-07,R,139,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27,6.2,8580
Chocolat,71309760,152500343,,25000000,15-Dec-00,PG-13,122,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62,7.3,56176
Charlotte's Web,82985708,143985708,83571732,82500000,15-Dec-06,G,98,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7,8028
Cinderella Man,61649911,108539911,,88000000,3-Jun-05,PG-13,144,Universal,Based on Real Life Events,Drama,Dramatization,Ron Howard,80,8,63111
City of Angels,78750909,198750909,,55000000,10-Apr-98,PG-13,117,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59,6.4,40053
A Civil Action,56709981,56709981,,60000000,25-Dec-98,PG-13,112,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61,6.4,14244
Cold Mountain,95632614,161632614,,80000000,25-Dec-03,R,152,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70,7.3,51083
Code Name: The Cleaner,8135024,8135024,4492233,20000000,5-Jan-07,PG-13,91,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4,4,5277
Closer,33987757,115987757,,35000000,3-Dec-04,R,104,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Mike Nichols,68,2.9,212
Maid in Manhattan,93932896,154832896,,55000000,13-Dec-02,PG-13,105,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39,4.6,30370
Constantine,75976178,230884728,,75000000,18-Feb-05,R,122,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46,6.7,78705
Collateral,100170152,217670152,,60000000,6-Aug-04,R,120,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86,7.8,105362
Con Air,101117573,224117573,,80000000,6-Jun-97,R,115,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Simon West,57,6.6,76052
Conspiracy Theory,76118990,137118990,,80000000,8-Aug-97,R,135,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Richard Donner,51,6.5,35719
Contact,100920329,165900000,,90000000,11-Jul-97,PG,150,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67,7.3,73684
The Covenant,23364784,38164784,26360430,20000000,8-Sep-06,PG-13,95,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3,4.8,17736
Cop Land,44906632,63706632,,15000000,15-Aug-97,R,105,Miramax,Original Screenplay,Drama,Contemporary Fiction,James Mangold,71,6.9,35192
Couples Retreat,109205660,172450423,34715888,60000000,9-Oct-09,PG-13,113,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12,5.5,18332
Cradle 2 the Grave,34657731,56434942,,25000000,28-Feb-03,R,101,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26,5.4,14834
The Corruptor,15164492,15164492,,10000000,12-Mar-99,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,James Foley,48,5.8,9008
Crash,54557348,98387109,,6500000,6-May-05,R,107,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75,6.1,20886
The Count of Monte Cristo,54228104,54228104,,40000000,25-Jan-02,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74,7.6,40605
Cruel Intentions,38230075,75803716,,11000000,5-Mar-99,R,95,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47,6.7,66861
Clockstoppers,36985501,38788828,,26000000,29-Mar-02,PG,94,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28,5,6392
The City of Your Final Destination,493296,493296,,8300000,16-Apr-10,PG-13,114,Hyde Park Films,Based on Book/Short Story,Drama,Contemporary Fiction,James Ivory,40,6.6,430
Cloudy with a Chance of Meatballs,124870275,139525862,42574228,100000000,18-Sep-09,PG,90,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86,7.2,19913
Daddy Day Care,104148781,164285587,,60000000,9-May-03,PG,92,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28,5.5,14944
The Black Dahlia,22672813,46672813,12350794,60000000,15-Sep-06,R,121,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33,5.6,35210
Dance Flick,25662155,32092761,,25000000,22-May-09,PG-13,83,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Damien Wayans,17,3.4,5002
Daredevil,102543518,179179718,,80000000,14-Feb-03,PG-13,105,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44,5.5,63574
Dawn of the Dead,58990765,102290765,,28000000,19-Mar-04,R,100,Universal,Remake,Horror,Science Fiction,Zack Snyder,76,7.4,73875
The Great Debaters,30226144,30226144,24133037,15000000,25-Dec-07,PG-13,130,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79,7.6,14530
Double Jeopardy,116735231,177835231,,40000000,24-Sep-99,R,105,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Bruce Beresford,25,6,28887
Deep Blue Sea,73648228,165048228,,60000000,28-Jul-99,R,105,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,57,5.6,44191
Drive Me Crazy,17843379,22591451,,8000000,1-Oct-99,PG-13,91,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,John Schultz,26,5.1,6968
Dragonfly,30063805,30063805,,60000000,22-Feb-02,PG-13,104,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8,14098
Live Free or Die Hard,134529403,383531464,100774964,110000000,27-Jun-07,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559
Disaster Movie,14190901,34690901,9859088,20000000,29-Aug-08,PG-13,88,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,1.7,34928
District 9,115646235,206552113,30058184,30000000,14-Aug-09,R,111,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91,8.3,151742
Dogma,30651422,43948865,,10000000,12-Nov-99,R,135,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,68,7.3,100476
Domestic Disturbance,45207112,45207112,,53000000,2-Nov-01,PG-13,89,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24,5.3,10778
Domino,10169202,17759202,15573570,50000000,14-Oct-05,R,133,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19,5.9,32560
Donnie Brasco,41954997,55954997,,35000000,28-Feb-97,R,121,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Mike Newell,87,7.7,65462
Deep Impact,140464664,349464664,,80000000,8-May-98,PG-13,120,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47,6,54160
The Departed,133311000,290539042,140689412,90000000,6-Oct-06,R,152,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5,264148
Death Race,36316032,72516819,24667330,65000000,22-Aug-08,R,105,Universal,Remake,Action,Science Fiction,Paul Anderson,41,6.6,40611
Drag Me To Hell,42100625,85724728,13123388,30000000,29-May-09,PG-13,99,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92,7.1,51343
Driven,32616869,54616869,,72000000,27-Apr-01,PG-13,117,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13,4.2,18795
Dreamcatcher,33685268,75685268,,68000000,21-Mar-03,R,136,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30,5.3,34141
Dreamgirls,103365956,154965956,53674555,75000000,15-Dec-06,PG-13,130,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78,6.6,28016
Disturbia,80209692,117573043,34508128,20000000,13-Apr-07,PG-13,104,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7,72231
Death at a Funeral,8580428,34743644,,20000000,17-Aug-07,R,90,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1,6628
The Dukes of Hazzard,80270227,110570227,,53000000,5-Aug-05,PG-13,105,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13,4.7,27016
Down to Earth,64172251,71172251,,30000000,16-Feb-01,PG-13,87,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19,5,9193
EDtv,22508689,35319689,,60000000,26-Mar-99,PG-13,122,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62,6,21734
Eagle Eye,101440743,178066569,38374936,80000000,26-Sep-08,PG-13,117,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27,6.6,52336
8MM,36443442,96398826,,40000000,26-Feb-99,R,119,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22,6.3,47753
Election,14943582,14943582,,8500000,23-Apr-99,R,103,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92,7.4,37454
Elf,173398518,220443451,,32000000,7-Nov-03,PG,95,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84,6.8,42123
Elizabeth,30082699,82150642,,25000000,6-Nov-98,R,124,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81,7.6,33773
Once Upon a Time in Mexico,56330657,98156459,,29000000,12-Sep-03,R,102,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68,6.2,54413
The Emperor's New Groove,89296573,169296573,,100000000,15-Dec-00,G,78,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355
Enchanted,127706877,340384141,87698079,85000000,21-Nov-07,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5,55697
End of Days,66889043,212026975,,100000000,24-Nov-99,R,120,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11,5.4,43513
Enemy at the Gates,51396781,96971293,,85000000,16-Mar-01,R,131,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53,7.4,59916
Enemy of the State,111549836,250649836,,85000000,20-Nov-98,R,127,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700
Entrapment,87707396,211700000,,66000000,30-Apr-99,PG-13,112,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764
Enough,39177215,39177215,,38000000,24-May-02,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92
Epic Movie,39739367,86858578,16839362,20000000,26-Jan-07,PG-13,86,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2,48975
Erin Brockovich,125548685,258400000,,50000000,17-Mar-00,R,133,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83,7.2,54977
Elizabethtown,26850426,50719373,15854391,54000000,14-Oct-05,PG-13,133,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4,31775
Eternal Sunshine of the Spotless Mind,34366518,47066518,,20000000,19-Mar-04,R,108,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93,8.5,219986
Eve's Bayou,14843425,14843425,,5000000,7-Nov-97,R,109,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80,7,4509
Event Horizon,26673242,26673242,,60000000,15-Aug-97,R,95,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21,6.3,44671
Evita,50047179,151947179,,55000000,25-Dec-96,PG,134,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61,6.1,16769
Evolution,38311134,98341932,,80000000,8-Jun-01,PG-13,102,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9,39590
Exit Wounds,51758599,79958599,,33000000,16-Mar-01,R,100,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2,14528
The Exorcism of Emily Rose,75072454,144216468,,18000000,9-Sep-05,PG-13,114,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45,6.8,32425
Eyes Wide Shut,55691208,86257553,,65000000,16-Jul-99,R,159,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78,7.2,93880
The Faculty,40283321,40283321,,15000000,25-Dec-98,R,102,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51,6.3,36139
Face/Off,112276146,241200000,,80000000,27-Jun-97,R,138,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93,7.3,102001
Final Destination 2,46896664,89626226,,26000000,31-Jan-03,R,90,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4,35737
The Fifth Element,63570862,263900000,,95000000,9-May-97,PG-13,105,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72,7.4,131252
Bring it On,68353550,90453550,,10000000,25-Aug-00,PG-13,99,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63,5.9,30309
Fantastic Four,154696080,330579719,4702358,87500000,8-Jul-05,PG-13,123,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27,5.7,71675
2 Fast 2 Furious,127120058,236220058,,76000000,6-Jun-03,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1,44151
The Fast and the Furious,144512310,206512310,,38000000,22-Jun-01,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53,6,67939
Fahrenheit 9/11,119114517,222414517,,6000000,23-Jun-04,R,122,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83,7.6,74424
From Hell,31598308,31598308,,35000000,19-Oct-01,R,123,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8,53477
Fight Club,37030102,100853753,,65000000,15-Oct-99,R,139,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81,8.8,382470
Finding Forrester,51768623,80013623,,43000000,19-Dec-00,PG-13,137,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74,7.2,35966
Final Destination,53302314,112802314,,23000000,17-Mar-00,R,98,New Line,Original Screenplay,Horror,Fantasy,James Wong,31,6.8,52618
Flubber,92993801,177993801,,80000000,26-Nov-97,PG,93,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17,4.6,18890
Flushed Away,64665672,177665672,71025931,149000000,3-Nov-06,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334
Flyboys,13090630,14816379,23631077,60000000,22-Sep-06,PG-13,139,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33,6.5,13934
The Family Man,75764085,124715863,,60000000,22-Dec-00,PG-13,126,Universal,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52,6.6,34090
Finding Nemo,339714978,867894287,,94000000,30-May-03,G,100,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2,165006
The Fountain,10144010,15461638,8752844,35000000,22-Nov-06,PG-13,96,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4,72562
The Forbidden Kingdom,52075270,129075270,23318686,55000000,18-Apr-08,PG-13,105,Lionsgate,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64,6.7,36548
Freedom Writers,36605602,43090741,20532539,21000000,5-Jan-07,PG-13,122,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69,7.5,18065
Next Friday,57176582,59675307,,9500000,12-Jan-00,R,98,New Line,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,21,5.3,10176
Freaky Friday,110222438,160822438,,26000000,6-Aug-03,PG,97,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Mark Waters,88,6.5,29137
Serenity,25514517,38514517,,39000000,30-Sep-05,PG-13,119,Universal,Based on TV,Action,Science Fiction,Joss Whedon,81,8,106648
Friday Night Lights,61255921,61950770,,30000000,8-Oct-04,PG-13,117,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81,7.2,20868
Fireproof,33451479,33451479,31898934,500000,26-Sep-08,PG,122,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40,5.6,5498
Frost/Nixon,18622031,28144586,6677601,29000000,5-Dec-08,R,122,Universal,Based on Play,Drama,Dramatization,Ron Howard,92,7.9,36366
The Full Monty,45950122,257938649,,3500000,13-Aug-97,R,90,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,95,7.2,40877
For Your Consideration,5549923,5549923,,12000000,17-Nov-06,PG-13,86,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2,7780
The Game,48265581,48265581,,50000000,12-Sep-97,R,128,Polygram,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,80,7.7,74136
Gangs of New York,77730500,190400000,,97000000,20-Dec-02,R,168,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378
Georgia Rule,18882880,20819601,19382312,20000000,11-May-07,R,111,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902
The Good German,1308696,1308696,,32000000,15-Dec-06,R,104,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1,13007
Gridiron Gang,38432823,41480851,34066576,30000000,15-Sep-06,PG-13,126,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41,6.8,12400
Ghost Rider,115802596,237702596,103730683,120000000,16-Feb-07,PG-13,110,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235
Ghost Town,13252641,26612350,7574314,20000000,19-Sep-08,PG-13,102,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85,4.7,310
Gladiator,187683805,457683805,,103000000,5-May-00,R,150,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512
The Green Mile,136801374,286601374,,60000000,10-Dec-99,R,187,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,Frank Darabont,77,8.4,198916
The General's Daughter,102705852,149705852,,60000000,18-Jun-99,R,116,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Simon West,22,6.1,23570
Godzilla,136314294,376000000,,125000000,19-May-98,PG-13,139,Sony Pictures,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455
Good Will Hunting,138433435,225933435,,10000000,20-Feb-87,R,126,Miramax,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,97,8.1,150415
Gosford Park,41300105,41300105,,18000000,26-Dec-01,R,137,USA Films,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3,36648
The Game Plan,90648202,147914546,50113315,22000000,22-Sep-07,PG,110,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Fickman,27,6.3,14984
Garden State,26782316,32381151,,2500000,28-Jul-04,R,109,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Zach Braff,86,7.9,92594
How the Grinch Stole Christmas,260044825,345141403,,123000000,17-Nov-00,PG,104,Universal,Based on Book/Short Story,Comedy,Kids Fiction,Ron Howard,53,5.7,40310
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,35069986,30000000,5-Oct-05,G,85,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,95,7.9,38158
