Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Broken Arrow,70645997,148345997,,65000000,9-Feb-96,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584
Brazil,9929135,9929135,,15000000,18-Dec-85,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635
The Cable Guy,60240295,102825796,,47000000,14-Jun-96,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
Chain Reaction,21226204,60209334,,55000000,2-Aug-96,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
City Hall,20278055,20278055,,40000000,16-Feb-96,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
Courage Under Fire,59003384,100833145,,46000000,12-Jul-96,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
Dante's Peak,67163857,178200000,,115000000,7-Feb-97,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
Daylight,32908290,158908290,,80000000,6-Dec-96,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
Dragonheart,51364680,104364680,,57000000,31-May-96,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
Escape from L.A.,25426861,25426861,,50000000,9-Aug-96,R,101,Paramount Pictures,Original Screenplay,Action,Science Fiction,John Carpenter,56,5.3,23262
Eraser,101295562,234400000,,100000000,21-Jun-96,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287
From Dusk Till Dawn,25728961,25728961,,20000000,19-Jan-96,R,107,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234
Fargo,24567751,51204567,,7000000,8-Mar-96,R,87,Gramercy,Based on Real Life Events,Thriller/Suspense,Contemporary Fiction,Joel Coen,94,8.3,165159
The First Wives Club,105489203,181489203,,30000000,20-Sep-96,PG,90,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682
The Ghost and the Darkness,38564422,38564422,,55000000,11-Oct-96,R,109,Paramount Pictures,Based on Real Life Events,Action,Dramatization,Stephen Hopkins,51,6.6,19735
Gone with the Wind,198680470,390525192,,3900000,15-Dec-39,G,222,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
Happy Gilmore,38623460,38623460,,10000000,16-Feb-96,PG-13,92,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111
Independence Day,306169255,817400878,,75000000,2-Jul-96,PG-13,145,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493
The Island of Dr. Moreau,27682712,27682712,,40000000,23-Aug-96,PG-13,95,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23,4.1,13770
Jack,58617334,58617334,,45000000,9-Aug-96,PG-13,113,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17,5.3,17267
Jingle All the Way,60592389,129832389,,60000000,22-Nov-96,PG,89,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16,4.9,22928
Kingpin,25023424,32223424,,25000000,26-Jul-96,R,113,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51,6.7,28404
The Long Kiss Goodnight,33447612,33447612,,65000000,11-Oct-96,R,120,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69,6.6,28257
Aliens,85160248,183316455,,17000000,18-Jul-86,R,137,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84
